store_id,total_coke_units,distinct_coke_skus,total_rewards_units,distinct_rewards_skus,total_non_rewards_units,cohort
0a2dadce-4ef1-49f5-9914-75fd73697c61,39,16,2,2,37,rewards-eligible
0a346db4-0015-46bd-aba4-b900eeb7c5f7,90,33,45,7,45,rewards-eligible
0a434b43-48c4-45cc-9805-dbbf17b6d6ca,130,17,26,5,104,rewards-eligible
0a457c22-750d-4960-a5a0-8245886d6f52,219,43,37,9,182,rewards-eligible
0a4be8e1-7cd2-4ade-95d2-918bbeca7268,640,41,77,5,563,rewards-eligible
0a5c034d-c8a1-48a9-883d-1e5e98a9f025,145,34,13,7,132,rewards-eligible
0a71efff-5fb5-4160-97da-4e82cfc76aa9,8,4,0,0,8,coca-cola-only
0a778af3-3c65-4736-89db-30571853308b,1,1,0,0,1,coca-cola-only
0a8b85d7-5ac8-403b-8cc7-622570f85625,223,62,75,14,148,rewards-eligible
0a9c6b86-c16b-4f8f-8a6d-42c03050ca45,42,37,7,7,35,rewards-eligible
0aa139df-482f-427f-83fe-1a06c0af0a27,94,24,22,9,72,rewards-eligible
0ac5cdea-decb-43ca-9dbe-bda6f09cb75a,336,80,71,15,265,rewards-eligible
0ac9352d-cfb6-420b-bfb5-5b37c312f20a,15,11,5,3,10,rewards-eligible
0ae57624-1100-4dc0-ae59-dfadee6737fa,6,4,0,0,6,coca-cola-only
0b0ad9ce-d319-412c-ab85-9579cea2a182,65,32,26,14,39,rewards-eligible
0b30f81e-8765-4db3-a481-b0500605d646,60,22,15,5,45,rewards-eligible
0b321a10-59c6-4022-8582-ec70c9950c5d,24,15,0,0,24,coca-cola-only
0b40d42a-77fb-4480-826a-145fc1a514da,35,13,1,1,34,rewards-eligible
0b44d7f6-bafc-418b-b21c-263364dcc86c,248,37,44,9,204,rewards-eligible
0b461c95-50e5-4fb5-b548-c22f8097ae23,15,10,1,1,14,rewards-eligible
0b46e2f7-6625-428f-b86a-6b77df968cc1,168,39,29,9,139,rewards-eligible
0b47c630-f82f-439a-8c96-2a97b315b84f,7,4,2,1,5,rewards-eligible
0b4b6a73-31c4-4bf3-8834-64ebe08f19c0,27,5,0,0,27,coca-cola-only
0b5a141c-c093-4303-9d60-779f5571619b,78,22,7,5,71,rewards-eligible
0b5a9a91-693c-4ab1-b58f-d3c7c1bd7c50,128,28,35,7,93,rewards-eligible
0b5b189b-d58e-4d63-ad04-134e99b126e5,95,40,21,8,74,rewards-eligible
0b6b9840-4063-44e1-9b20-77f6514f04ef,128,23,17,5,111,rewards-eligible
0babe01a-94f1-4f77-95dc-1609431865b8,155,34,16,5,139,rewards-eligible
0bb12a37-1da8-4115-b414-6f545550afd1,253,37,44,6,209,rewards-eligible
0bb8561e-54b9-4f5c-91ab-01438884ef7c,56,38,13,8,43,rewards-eligible
0bcfed2c-d64a-4c4e-9a9a-04ecb7474c9d,19,15,4,4,15,rewards-eligible
0c283ce6-f65e-4595-b8f9-aac6791ac48a,11,9,0,0,11,coca-cola-only
0c28cd4c-267a-408a-ac1e-4368513cff01,100,25,7,3,93,rewards-eligible
0c29b993-83c7-4b7e-a66d-1ec10d68afbc,34,21,15,10,19,rewards-eligible
0c30ad7e-2249-4566-abba-20da1a46f0d4,5,5,0,0,5,coca-cola-only
0c37647b-704f-4c49-96c6-1f7026a7749f,5,5,2,2,3,rewards-eligible
0c3b6dfc-efa0-4ec2-9d81-c3e4d1ce3da3,30,15,4,3,26,rewards-eligible
0c5165d3-31ce-4ff8-9f31-05fe6ee363cd,11,10,0,0,11,coca-cola-only
0c5651b8-3df9-41fa-be50-cbc999821080,9,6,0,0,9,coca-cola-only
0c57117c-26fd-47f7-9602-184b8cb53bb7,303,46,71,7,232,rewards-eligible
0c5b8a4e-75ca-47db-8b36-2a0338e6b035,183,37,13,6,170,rewards-eligible
0c924a28-028a-414d-8207-e82df9de4801,331,76,35,14,296,rewards-eligible
0c926ca2-8ffd-42d9-aba4-fddb5780946d,20,10,1,1,19,rewards-eligible
0cb485ba-9ff2-488e-8cc0-db3f1c29be54,372,70,89,14,283,rewards-eligible
0cbf764c-9df2-4549-a944-b8c5ce32b0f2,54,20,2,2,52,rewards-eligible
0cc2ffbf-07b3-49bf-b979-b8c9ac8c60b9,595,68,67,12,528,rewards-eligible
0cdcb21d-435a-4d2d-abdb-c802a672bb0f,397,52,45,8,352,rewards-eligible
